code,name,industry,area
600980,北矿科技,元器件,北京
300469,信息发展,软件服务,上海
300416,苏试试验,电器仪表,江苏
000581,威孚高科,汽车配件,江苏
600864,哈投股份,证券,黑龙江
600791,京能置业,全国地产,北京
600686,金龙汽车,汽车整车,福建
300512,中亚股份,专用机械,浙江
300364,中文在线,出版业,北京
000970,中科三环,元器件,北京
000909,数源科技,综合类,浙江
002687,乔治白,服饰,浙江
603811,诚意药业,化学制药,浙江
000061,农 产 品,农业综合,深圳
601595,上海电影,影视音像,上海
600362,江西铜业,铜,江西
600877,ST嘉陵,摩托车,重庆
300494,盛天网络,互联网,湖北
000559,万向钱潮,汽车配件,浙江
000676,智度股份,互联网,河南
600829,人民同泰,医药商业,黑龙江
300271,华宇软件,软件服务,北京
603444,吉比特,互联网,福建
600978,宜华生活,家居用品,广东
300440,运达科技,软件服务,四川
300688,创业黑马,综合类,北京
300742,越博动力,汽车配件,江苏
000836,富通鑫茂,通信设备,天津
002881,美格智能,通信设备,深圳
300261,雅本化学,农药化肥,江苏
600804,鹏博士,电信运营,四川
300327,中颖电子,半导体,上海
300428,四通新材,铝,河北
002445,ST中南,影视音像,江苏
603906,龙蟠科技,化工原料,江苏
600571,信雅达,软件服务,浙江
002402,和而泰,元器件,深圳
000977,浪潮信息,电脑设备,山东
601368,绿城水务,水务,广西
000608,阳光股份,区域地产,广西
000782,美达股份,化纤,广东
600373,中文传媒,出版业,江西
300377,赢时胜,软件服务,深圳
002913,奥士康,元器件,湖南
000719,中原传媒,出版业,河南
002923,润都股份,化学制药,广东
600622,光大嘉宝,区域地产,上海
300256,星星科技,元器件,浙江
000517,荣安地产,区域地产,浙江
600249,两面针,日用化工,广西
000652,泰达股份,批发业,天津
600371,万向德农,种植业,黑龙江
002401,中远海科,软件服务,上海
600083,博信股份,建筑施工,江苏
002709,天赐材料,化工原料,广东
600689,上海三毛,纺织,上海
600654,ST中安,软件服务,上海
300163,先锋新材,其他建材,浙江
000851,高鸿股份,软件服务,贵州
300621,维业股份,装修装饰,深圳
000062,深圳华强,批发业,深圳
603328,依顿电子,元器件,广东
601975,ST长油,水运,江苏
300367,东方网力,电脑设备,北京
603429,集友股份,广告包装,安徽
300344,太空智造,其他建材,北京
600635,大众公用,供气供热,上海
300311,任子行,软件服务,广东
000917,电广传媒,影视音像,湖南
600272,开开实业,中成药,上海
300684,中石科技,化工原料,北京
600283,钱江水利,水务,浙江
000700,模塑科技,汽车配件,江苏
002708,光洋股份,汽车配件,江苏
002526,山东矿机,工程机械,山东
600350,山东高速,路桥,山东
300063,天龙集团,染料涂料,广东
000582,北部湾港,港口,广西
600867,通化东宝,生物制药,吉林
603766,隆鑫通用,摩托车,重庆
601555,东吴证券,证券,江苏
601108,财通证券,证券,浙江
600004,白云机场,机场,广东
300215,电科院,电气设备,江苏
600082,海泰发展,园区开发,天津
002699,美盛文化,服饰,浙江
600576,祥源文化,影视音像,浙江
300038,数知科技,通信设备,北京
002603,以岭药业,中成药,河北
000788,北大医药,化学制药,重庆
002713,东易日盛,装修装饰,北京
603168,莎普爱思,化学制药,浙江
300294,博雅生物,生物制药,江西
600750,江中药业,中成药,江西
603018,中设集团,建筑施工,江苏
300330,华虹计通,软件服务,上海
600640,号百控股,酒店餐饮,上海
300159,新研股份,农用机械,新疆
603139,康惠制药,中成药,陕西
300533,冰川网络,软件服务,深圳
000068,华控赛格,元器件,深圳
603030,全筑股份,装修装饰,上海
300089,文化长城,陶瓷,广东
000777,中核科技,机械基件,江苏
300546,雄帝科技,元器件,深圳
300356,光一科技,电气设备,江苏
601369,陕鼓动力,机械基件,陕西
002049,紫光国微,元器件,河北
300307,慈星股份,纺织机械,浙江
002353,杰瑞股份,化工机械,山东
002527,新时达,电器仪表,上海
300025,华星创业,通信设备,浙江
300270,中威电子,通信设备,浙江
600844,丹化科技,化工原料,上海
002414,高德红外,电器仪表,湖北
600633,浙数文化,互联网,浙江
002552,宝鼎科技,机械基件,浙江
000988,华工科技,电器仪表,湖北
000615,京汉股份,全国地产,湖北
300181,佐力药业,中成药,浙江
002717,岭南股份,环境保护,广东
600993,马应龙,中成药,湖北
603501,韦尔股份,半导体,上海
300126,锐奇股份,轻工机械,上海
000555,神州信息,软件服务,深圳
300074,华平股份,通信设备,上海
603128,华贸物流,仓储物流,上海
000005,世纪星源,环境保护,深圳
300130,新国都,电脑设备,深圳
300014,亿纬锂能,电气设备,广东
002847,盐津铺子,食品,湖南
600470,六国化工,农药化肥,安徽
600790,轻纺城,商品城,浙江
600313,农发种业,种植业,北京
603918,金桥信息,软件服务,上海
000530,大冷股份,机械基件,辽宁
600060,海信电器,家用电器,山东
600025,华能水电,水力发电,云南
300053,欧比特,半导体,广东
601789,宁波建工,建筑施工,浙江
300552,万集科技,软件服务,北京
300442,普丽盛,轻工机械,上海
300710,万隆光电,通信设备,浙江
600845,宝信软件,软件服务,上海
300207,欣旺达,元器件,深圳
002079,苏州固锝,半导体,江苏
600705,中航资本,多元金融,黑龙江
600604,市北高新,园区开发,上海
300190,维尔利,环境保护,江苏
600731,湖南海利,农药化肥,湖南
002373,千方科技,软件服务,北京
601808,中海油服,石油开采,天津
002922,伊戈尔,电气设备,广东
600262,北方股份,汽车整车,内蒙
300312,邦讯技术,通信设备,北京
600346,恒力股份,化纤,辽宁
600960,渤海汽车,汽车配件,山东
300052,中青宝,互联网,深圳
300161,华中数控,机床制造,湖北
600756,浪潮软件,软件服务,山东
002302,西部建设,水泥,新疆
002315,焦点科技,互联网,江苏
600531,豫光金铅,铅锌,河南
600365,通葡股份,红黄药酒,吉林
600210,紫江企业,广告包装,上海
603859,能科股份,软件服务,北京
603629,利通电子,元器件,江苏
603042,华脉科技,通信设备,江苏
002090,金智科技,软件服务,江苏
300299,富春股份,通信设备,福建
600584,长电科技,半导体,江苏
600715,文投控股,影视音像,辽宁
000876,新 希 望,饲料,四川
600218,全柴动力,农用机械,安徽
